#CODE                                                       ;SED+EMF ;EMF;SWMH;OTHER;SED;VANILLA
Germania                                                    ;Germania;Germania;;;;
#zz~plus_misc.csv;;;;;
#zz~plus_faction.csv;;;;;
#zz~imperial_titles_unmodified.csv;;;;;
imperial_baron_greek                                        ;Drungary;Droungarios;;;;
imperial_baron_female_greek                                 ;Countess;Komissa;;;;
imperial_baron_title_ruler_consort_greek                    ;Drungary;Droungarios;;;;
imperial_baron_title_ruler_consort_female_greek             ;Countess;Komissa;;;;
imperial_count_greek                                        ;        ;Tourmarches;;;;
imperial_count_female_greek                                 ;        ;Tourmarchissa;;;;
imperial_count_title_ruler_consort_greek                    ;        ;Tourmarches;;;;
imperial_count_title_ruler_consort_female_greek             ;        ;Tourmarchissa;;;;
imperial_duke_greek                                         ;        ;Strategos;;;;
imperial_duke_female_greek                                  ;        ;Doukissa;;;;
imperial_duke_title_ruler_consort_greek                     ;Dux     ;Doux;;;;
imperial_duke_title_ruler_consort_female_greek              ;        ;Doukissa;;;;
imperial_king_greek                                         ;Exarch  ;Exarchos;;;;
imperial_king_female_greek                                  ;Despotess;Despoina;;;;
imperial_king_title_ruler_consort_greek                     ;Despot  ;Despotes;;;;
imperial_king_title_ruler_consort_female_greek              ;Despotess;Despoina;;;;
imperial_emperor_greek                                      ;        ;Basileus;;;;
imperial_emperor_female_greek                               ;        ;Basilissa;;;;
imperial_emperor_title_ruler_consort_female_greek           ;        ;Basilissa;;;;
imperial_title_prince_greek                                 ;Caesar  ;Kaisar;;;;
imperial_title_prince_female_greek                          ;Caesarissa;Kaisarissa;;;;
imperial_barony_of_greek                                    ;Kastron of;Kastron;;;;
imperial_county_of_greek                                    ;Turma of;Tourma;;;;
imperial_duchy_of_greek                                     ;Theme of;Thema;;;;
imperial_kingdom_of_greek                                   ;        ;Despotate of;;;;
imperial_baron_danish                                       ;        ;Herra;;;;
imperial_baron_gothic                                       ;        ;Herra;;;;
imperial_baron_icelandic                                    ;        ;Herra;;;;
imperial_baron_swedish                                      ;        ;Herra;;;;
imperial_baron_norwegian                                    ;        ;Herra;;;;
imperial_baron_female_danish                                ;Mistress;Frú;;;;
imperial_baron_female_gothic                                ;Mistress;Frú;;;;
imperial_baron_female_icelandic                             ;Mistress;Frú;;;;
imperial_baron_female_swedish                               ;Mistress;Frú;;;;
imperial_baron_female_norwegian                             ;Mistress;Frú;;;;
imperial_count_norse                                        ;Thegn   ;Thane;;;;
imperial_count_danish                                       ;        ;Herra;;;;
imperial_count_icelandic                                    ;        ;Landnámaður;;;;
imperial_count_gothic                                       ;        ;Herra;;;;
imperial_count_swedish                                      ;        ;Herra;;;;
imperial_count_norwegian                                    ;Lendmann;Lendr maðr;;;;
imperial_count_female_icelandic                             ;Mistress;Frú;;;;
imperial_count_female_gothic                                ;Mistress;Frú;;;;
imperial_count_female_danish                                ;Mistress;Frú;;;;
imperial_count_female_swedish                               ;Mistress;Frú;;;;
imperial_count_female_norwegian                             ;Mistress;Frú;;;;
imperial_duke_danish                                        ;        ;Jarl;;;;
imperial_duke_icelandic                                     ;        ;Jarl;;;;
imperial_duke_gothic                                        ;        ;Jarl;;;;
imperial_duke_swedish                                       ;        ;Jarl;;;;
imperial_duke_norwegian                                     ;        ;Jarl;;;;
imperial_duke_female_danish                                 ;Mistress;Frú;;;;
imperial_duke_female_gothic                                 ;Mistress;Frú;;;;
imperial_duke_female_icelandic                              ;Mistress;Frú;;;;
imperial_duke_female_swedish                                ;Mistress;Frú;;;;
imperial_duke_female_norwegian                              ;Mistress;Frú;;;;
imperial_king_danish                                        ;King    ;Konungr;;;;
imperial_king_gothic                                        ;King    ;Konungr;;;;
imperial_king_icelandic                                     ;King    ;Konungr;;;;
imperial_king_norse                                         ;King    ;Konungr;;;;
imperial_king_swedish                                       ;King    ;Konungr;;;;
imperial_king_norwegian                                     ;King    ;Konungr;;;;
imperial_king_female_norse                                  ;Queen   ;Dróttning;;;;
imperial_king_female_icelandic                              ;Queen   ;Dróttning;;;;
imperial_king_female_gothic                                 ;Queen   ;Dróttning;;;;
imperial_king_female_danish                                 ;Queen   ;Dróttning;;;;
imperial_king_female_swedish                                ;Queen   ;Dróttning;;;;
imperial_king_female_norwegian                              ;Queen   ;Dróttning;;;;
imperial_emperor_icelandic                                  ;Emperor ;Keisari;;;;
imperial_emperor_gothic                                     ;Emperor ;Keisari;;;;
imperial_emperor_norse                                      ;Emperor ;Keisari;;;;
imperial_emperor_danish                                     ;Emperor ;Keisari;;;;
imperial_emperor_swedish                                    ;Emperor ;Keisari;;;;
