#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_socotra;Socotra;;;;;;;;;;;;;x
d_yaik;Ural;;;;;;;;;;;;;x
d_yaik_adj;Ural;;;;;;;;;;;;;x
c_guryev_adj;Saray-Jük;;;;;;;;;;;;;x
c_sirjan_adj;Sirjan;;;;;;;;;;;;;x
c_ghazna_adj;Ghazni;;;;;;;;;;;;;x
c_kabul_adj;Kabul;;;;;;;;;;;;;x
c_khuttal_adj;Khuttalan;;;;;;;;;;;;;x
c_sibir_adj;Tobol;;;;;;;;;;;;;x
c_otrar_adj;Otrar;;;;;;;;;;;;;x
c_turgay_adj;Turgai;;;;;;;;;;;;;x
c_balkhash_adj;Balkhash;;;;;;;;;;;;;x
c_socotra_adj;Socotran;;;;;;;;;;;;;x
e_rajastan;Rajasthan;;;;;;;;;;;;;x
k_sindh;Sindh;;;;;;;;;;;;;x
d_sauvira;Sauvira;;;;;;;;;;;;;x
d_bhakkar;Bhakkar;;;;;;;;;;;;;x
k_punjab;Punjab;;;;;;;;;;;;;x
d_multan;Multan;;;;;;;;;;;;;x
d_lahore;Lahore;;;;;;;;;;;;;x
d_gandhara;Gandhara;;;;;;;;;;;;;x
k_delhi;Delhi;;;;;;;;;;;;;x
d_kuru;Kuru;;;;;;;;;;;;;x
d_haritanaka;Haryana;;;;;;;;;;;;;x
d_mathura;Mathura;;;;;;;;;;;;;x
d_vodamayutja;Budaun;;;;;;;;;;;;;x
k_gujarat;Gujarat;;;;;;;;;;;;;x
d_gurjara_mandala;Gujarat;;;;;;;;;;;;;x
d_anartta;Anarta;;;;;;;;;;;;;x
d_saurashtra;Saurashtra;;;;;;;;;;;;;x
d_lata;Lata;;;;;;;;;;;;;x
k_rajputana;Rajputana;;;;;;;;;;;;;x
d_maru;Marwar;;;;;;;;;;;;;x
d_jangladesh;Jangladesh;;;;;;;;;;;;;x
d_stravani;Stravani;;;;;;;;;;;;;x
d_medapata;Mewar;;;;;;;;;;;;;x
d_ajmer;Ajmer;;;;;;;;;;;;;x
k_malwa;Malwa;;;;;;;;;;;;;x
d_dadhipadra;Avanti;;;;;;;;;;;;;x
d_akara_dasarna;Dasharna;;;;;;;;;;;;;x
d_anupa;Anupa;;;;;;;;;;;;;x
k_kosala;Kosala;;;;;;;;;;;;;x
d_kanyakubja;Kannauj;;;;;;;;;;;;;x
d_saryupara;Saryupara;;;;;;;;;;;;;x
d_jejakabhukti;Bundelkhand;;;;;;;;;;;;;x
c_kanyakubja_adj;Kannauj;;;;;;;;;;;;;x
c_lakhnau_adj;Lucknow;;;;;;;;;;;;;x
c_kalpi_adj;Kalpi;;;;;;;;;;;;;x
c_bharauli_adj;Barauli;;;;;;;;;;;;;x
c_prayaga_adj;Allahabad;;;;;;;;;;;;;x
c_asni_adj;Asni;;;;;;;;;;;;;x
c_naimisa_adj;Naimisha;;;;;;;;;;;;;x
c_sravasti_adj;Sravasti;;;;;;;;;;;;;x
c_ayodhya_adj;Ayodhya;;;;;;;;;;;;;x
c_mahoba_adj;Mahoba;;;;;;;;;;;;;x
c_kalanjara_adj;Kalanjara;;;;;;;;;;;;;x
c_damoh_adj;Damoh;;;;;;;;;;;;;x
c_gurgi_adj;Gurgi;;;;;;;;;;;;;x
c_delhi_adj;Delhi;;;;;;;;;;;;;x
c_hastinapura_adj;Hastinapur;;;;;;;;;;;;;x
c_sthanisvara_adj;Thanesar;;;;;;;;;;;;;x
c_hisar_adj;Hisar;;;;;;;;;;;;;x
c_tribandapura_adj;Tribandapura;;;;;;;;;;;;;x
